[06/Dec/2025:11:35:18 +0000] - 404 404 - GET https psy-nexus.live "/robots.txt" [Client 74.7.230.22] [Length 177] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; robots.txt; +https://openai.com/searchbot" "-"
[06/Dec/2025:11:37:19 +0000] - - 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:37:20 +0000] - - 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:38:16 +0000] - - 502 - GET https psy-nexus.live "/" [Client 128.192.12.115] [Length 154] [Gzip -] [Sent-to backend] "Mozilla/5.0 (compatible; UGAResearchAgent/1.0; Please visit: NISLabUGA.github.io)" "-"
[06/Dec/2025:11:40:04 +0000] - - 301 - GET http psy-nexus.live "/" [Client 157.173.122.176] [Length 166] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54" "-"
[06/Dec/2025:11:40:04 +0000] - 502 502 - GET https psy-nexus.live "/" [Client 157.173.122.176] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54" "-"
[06/Dec/2025:11:40:53 +0000] - 502 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:40:54 +0000] - 502 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:47:13 +0000] - - 301 - GET http psy-nexus.live "/" [Client 91.231.89.21] [Length 166] [Gzip -] [Sent-to backend] "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0" "-"
[06/Dec/2025:11:52:37 +0000] - 502 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:54:38 +0000] - - 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:54:52 +0000] - - 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[06/Dec/2025:11:54:52 +0000] - - 502 - GET https psy-nexus.live "/" [Client 213.55.222.128] [Length 556] [Gzip -] [Sent-to backend] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
